09/01/13	6832
09/02/13	6357
09/03/13	6186
09/04/13	5891
09/05/13	5815
09/06/13	6317
09/07/13	7153
09/08/13	6632
09/09/13	6117
09/10/13	6254
09/11/13	6055
09/12/13	6117
09/13/13	6419
09/14/13	6660
09/15/13	6057
09/16/13	5483
09/17/13	5513
09/18/13	6197
09/19/13	6500
09/20/13	6867
09/21/13	7305
09/22/13	6183
09/23/13	5835
09/24/13	6160
09/25/13	6251
09/26/13	6419
09/27/13	7226
09/28/13	7799
09/29/13	6177
09/30/13	6002
10/01/13	6403
10/02/13	6099
10/03/13	6299
10/04/13	7299
10/05/13	7514
10/06/13	6254
10/07/13	5607
10/08/13	5889
10/09/13	6140
10/10/13	6006
10/11/13	6873
10/12/13	7415
10/13/13	6376
10/14/13	5604
10/15/13	5755
10/16/13	5480
10/17/13	5960
10/18/13	6800
10/19/13	6747
10/20/13	6367
10/21/13	5848
10/22/13	5789
10/23/13	6225
10/24/13	5991
10/25/13	6725
10/26/13	6765
10/27/13	6362
10/28/13	5932
10/29/13	5861
10/30/13	6444
10/31/13	7861
11/01/13	7493
11/02/13	7586
11/03/13	6415
11/04/13	5881
11/05/13	5920
11/06/13	5838
11/07/13	6171
11/08/13	6895
11/09/13	6978
11/10/13	6182
11/11/13	6036
11/12/13	5905
11/13/13	5673
11/14/13	5997
11/15/13	6449
11/16/13	7135
11/17/13	12649
11/18/13	6141
11/19/13	5955
11/20/13	5738
11/21/13	6413
11/22/13	6720
11/23/13	6696
11/24/13	5740
11/25/13	6022
11/26/13	5876
11/27/13	6799
11/28/13	5983
11/29/13	6588
11/30/13	6470
12/01/13	6156
12/02/13	5835
12/03/13	6223
12/04/13	6466
12/05/13	6397
12/06/13	7506
12/07/13	6163
12/08/13	6231
12/09/13	5651
12/10/13	5856
12/11/13	5985
12/12/13	5819
12/13/13	6955
12/14/13	7668
12/15/13	5553
12/16/13	6339
12/17/13	5915
12/18/13	6037
12/19/13	6240
12/20/13	6838
12/21/13	8244
12/22/13	6577
12/23/13	6474
12/24/13	6166
12/25/13	5285
12/26/13	5650
12/27/13	6095
12/28/13	6173
12/29/13	5651
12/30/13	5449
12/31/13	6503
